$Date,$Time,YXC-401B,YXI-401B,YXI-402B,YXI-403B,YXI-404B
02/15/16,01:19:00,1700,1840.591,589.4911,5519.893,28661.32
02/15/16,01:20:00,1700,1841.529,594.1361,5577,28913.96
02/15/16,01:21:00,1700,1840.792,597.8771,5608.884,29148.94
02/15/16,01:22:00,1700,1840.593,596.8076,5598.23,29071.92
02/15/16,01:23:00,1700,1841.255,598.7402,5620.891,29200.27
02/15/16,01:24:00,1700,1840.576,596.4243,5615.055,29165.89
02/15/16,01:25:00,1700,1840.96,584.741,5472.05,28430.13
02/15/16,01:26:00,1700,1840.761,571.8627,5324.098,27652.79
02/15/16,01:27:00,1700,1840.575,588.1223,5498.199,28564.46
02/15/16,01:28:00,1700,1840.6,591.6022,5537.897,28761.86
02/15/16,01:29:00,1700,1841.28,594.782,5578.426,28952.41
02/15/16,01:30:00,1700,1841.554,572.7739,5358.962,27838.41
02/15/16,01:31:00,1700,1839.767,587.4854,5501.723,28592.55
02/15/16,01:32:00,1700,1840.597,597.5325,5592.858,29040.67
02/15/16,01:33:00,1700,1840.972,596.2552,5591.85,29052.75
02/15/16,01:34:00,1700,1841.308,587.6426,5494.92,28540.77
02/15/16,01:35:00,1700,1841.249,592.7269,5545.447,28836.87
02/15/16,01:36:00,1700,1840.955,596.0392,5584.979,29007.88
02/15/16,01:37:00,1700,1841.532,591.7339,5541.333,28707.07
02/15/16,01:38:00,1700,1841.835,593.4568,5544.19,28783.21
02/15/16,01:39:00,1700,1841.282,598.8127,5607.701,29042.61
02/15/16,01:40:00,1700,1841.829,577.6802,5398.039,28025.97
02/15/16,01:41:00,1700,1840.78,571.294,5338.401,27706.34
02/15/16,01:42:00,1700,1840.962,589.364,5514.944,28648.02
02/15/16,01:43:00,1700,1840.978,595.0128,5575.88,28958.68
02/15/16,01:44:00,1700,1840.936,598.8293,5623.492,29200.49
02/15/16,01:45:00,1700,1842.297,588.9388,5508.077,28592.76
02/15/16,01:46:00,1700,1840.316,597.6166,5599.407,29099.95
02/15/16,01:47:00,1700,1842.022,580.1593,5418.072,28155.36
02/15/16,01:48:00,1700,1840.786,589.1099,5539.857,28778.75
02/15/16,01:49:00,1700,1843.453,591.3026,5556.057,28872.48
02/15/16,01:50:00,1700,1842.028,595.7754,5580.692,28969.31
02/15/16,01:51:00,1700,1841.846,579.9597,5420.781,28143.59
02/15/16,01:52:00,1700,1840.585,596.5916,5581.538,28992.77
02/15/16,01:53:00,1700,1840.974,599.8569,5625.662,29217.64
02/15/16,01:54:00,1700,1840.942,597.8505,5606.47,29100.06
02/15/16,01:55:00,1700,1840.763,594.5731,5571.606,28934.88
02/15/16,01:56:00,1700,1840.919,596.7992,5586.161,29007.22
02/15/16,01:57:00,1700,1840.949,590.3782,5511.936,28626.78
02/15/16,01:58:00,1700,1842.578,593.3227,5550.104,28813.77
02/15/16,01:59:00,1700,1840.656,593.7581,5568.179,28924.06
02/15/16,02:00:00,1700,1841.249,589.9272,5508.119,28609.54
02/15/16,02:01:00,1700,1841.794,593.9576,5563.82,28889.92
02/15/16,02:02:00,1700,1841.245,595.3369,5573.748,28947.66
02/15/16,02:03:00,1700,1841.827,596.3755,5609.814,29121.37
02/15/16,02:04:00,1700,1840.947,589.7988,5523.224,28675.4
02/15/16,02:05:00,1700,1841.24,592.6315,5537.731,28754.79
02/15/16,02:06:00,1700,1840.988,577.4575,5401.534,28088.06
02/15/16,02:07:00,1700,1840.774,592.6368,5552.312,28840.46
02/15/16,02:08:00,1700,1841.235,597.705,5589.208,29020.57
02/15/16,02:09:00,1700,1840.958,595.6052,5567.007,28935.29
02/15/16,02:10:00,1700,1840.021,589.3735,5515.009,28660.87
02/15/16,02:11:00,1700,1840.744,590.9642,5519.736,28669.39
02/15/16,02:12:00,1700,1840.989,596.4739,5582.76,28993.16
02/15/16,02:13:00,1700,1842.768,594.317,5569.091,28900.68
02/15/16,02:14:00,1700,1842.018,585.3467,5480.359,28451.71
02/15/16,02:15:00,1700,1841.524,591.604,5555.591,28847.06
02/15/16,02:16:00,1700,1840.984,593.8745,5543.387,28789.29
02/15/16,02:17:00,1700,1840.779,591.5156,5551.371,28816.82
02/15/16,02:18:00,1700,1840.495,595.7728,5584.883,29020.27
02/15/16,02:19:00,1700,1841.542,593.7561,5561.144,28865.92
02/15/16,02:20:00,1700,1840.581,590.6299,5541.124,28767.77
02/15/16,02:21:00,1700,1842.307,597.6367,5619.04,29124.73
02/15/16,02:22:00,1700,1840.965,574.2928,5348.772,27780.83
02/15/16,02:23:00,1700,1840.582,591.8626,5535.482,28754.89
02/15/16,02:24:00,1700,1841.534,596.0694,5594.37,29038.23
02/15/16,02:25:00,1700,1840.782,594.1489,5551.446,28834.2
02/15/16,02:26:00,1700,1842.05,592.0886,5533.006,28733.49
02/15/16,02:27:00,1700,1841.535,586.8931,5493.409,28530.42
02/15/16,02:28:00,1700,1840.978,584.2023,5455.405,28344.74
02/15/16,02:29:00,1700,1842.03,577.5039,5389.032,27985.11
02/15/16,02:30:00,1700,1840.786,583.2906,5458.825,28351.37
02/15/16,02:31:00,1700,1841.585,593.1232,5542.443,28778.25
02/15/16,02:32:00,1700,1841.84,591.2693,5554.414,28840.62
02/15/16,02:33:00,1700,1840.569,595.9104,5607.573,29149.16
02/15/16,02:34:00,1700,1840.946,583.0692,5435.386,28250.6
02/15/16,02:35:00,1700,1841.245,594.23,5578.417,28952.04
02/15/16,02:36:00,1700,1841.298,599.5095,5634.979,29279.1
02/15/16,02:37:00,1700,1841.817,602.1362,5628.104,29145.69
02/15/16,02:38:00,1700,1841.3,593.4536,5539.8,28778.54
02/15/16,02:39:00,1700,1840.615,587.9269,5498.434,28463.54
02/15/16,02:40:00,1700,1840.312,589.7119,5525.268,28710.41
02/15/16,02:41:00,1700,1841.263,590.6208,5530.188,28710.08
02/15/16,02:42:00,1700,1841.823,576.5164,5371.018,27890.31
02/15/16,02:43:00,1700,1842.022,582.1815,5437.563,28244.84
02/15/16,02:44:00,1700,1840.784,597.7161,5609.776,29132.47
02/15/16,02:45:00,1700,1840.981,594.4445,5568.008,28919.83
02/15/16,02:46:00,1700,1841.857,590.1495,5523.988,28675.87
02/15/16,02:47:00,1700,1841.839,592.6355,5554.212,28839.89
