$Date,$Time,PI-428,PI-430,FI-425,TI-426,TI-432,TI-431,PI-433,HR_A1,QR_A1,QR_SCL_A1
02/15/16,00:43:00,736.7932,2611.809,82.23946,24.8035,107.5441,106.3874,2609.337,1.329425,0.0990098,0.1005659
02/15/16,00:44:00,749.1754,2646.075,88.67954,25.11414,107.4679,106.4608,2636.542,1.33434,0.1022762,0.1006295
02/15/16,00:45:00,758.4064,2655.526,84.9173,25.33098,107.7808,106.6848,2649.963,1.316481,0.09921896,0.1001782
02/15/16,00:46:00,747.0428,2595.141,90.60497,24.89081,107.5255,106.7999,2592.178,1.310073,0.1035835,0.09994129
02/15/16,00:47:00,737.9541,2636.641,81.19495,25.21986,107.565,106.2273,2633.862,1.340377,0.09863822,0.1010886
02/15/16,00:48:00,748.2733,2574.355,87.22721,24.6656,108.0892,106.8959,2571.236,1.303183,0.1014725,0.09947705
02/15/16,00:49:00,745.3363,2641.549,84.30191,25.02046,107.4395,106.4487,2637.62,1.329102,0.09964769,0.1006811
02/15/16,00:50:00,766.5936,2649.542,87.55241,25.33582,107.7194,106.4073,2643.218,1.300366,0.09971377,0.09948502
02/15/16,00:51:00,755.141,2656.404,85.27981,25.5072,107.2058,106.2999,2651.451,1.317333,0.09938058,0.1001613
02/15/16,00:52:00,729.267,2598.999,77.62505,25.39418,107.6069,106.4215,2588.25,1.33053,0.09687372,0.1008547
02/15/16,00:53:00,729.0393,2566.216,85.65609,24.56752,107.6767,106.6508,2560.621,1.325997,0.1016598,0.1003524
02/15/16,00:54:00,744.1943,2635.782,83.67584,24.97971,107.4802,106.4526,2631.753,1.330619,0.0993875,0.100762
02/15/16,00:55:00,749.7125,2607.727,85.82905,25.07855,107.4007,106.2631,2601.928,1.306831,0.1001139,0.09989505
02/15/16,00:56:00,749.8248,2591.062,82.59315,25.27901,106.9577,105.9533,2584.173,1.30911,0.09828751,0.09951712
02/15/16,00:57:00,764.1949,2633.108,85.84614,25.37466,106.7485,106.053,2631.481,1.306125,0.09930922,0.0995504
02/15/16,00:58:00,750.752,2642.151,81.46717,25.50966,107.0106,105.8258,2633.286,1.326861,0.09746439,0.1002248
02/15/16,00:59:00,746.6296,2580.308,83.87962,24.86812,107.3061,106.2006,2574.799,1.30247,0.0992716,0.09948746
02/15/16,01:00:00,754.6173,2634.387,85.34164,25.2131,107.0969,106.0264,2634.163,1.314023,0.09967903,0.09981842
02/15/16,01:01:00,762.2516,2647.411,84.2202,25.41035,107.0125,105.9873,2641.058,1.308738,0.0990632,0.09993915
02/15/16,01:02:00,770.4596,2644.222,88.44612,25.36156,106.9606,105.9364,2635.873,1.295759,0.1006052,0.09904415
