$Date,$Time,PI-501B,PI-502B,PDI-501B,PI-701B,PDI-701B,PI-731B,PZI-732B,PI-741B,PZI-742B
02/15/16,00:55:00,106.6418,516.7374,7.601089,7284.567,19.99019,105.2598,105.4294,102.891,102.8895
02/15/16,00:56:00,106.6565,516.4398,7.580376,7211.557,19.88049,105.1265,105.3432,102.743,102.734
02/15/16,00:57:00,106.6055,516.3457,7.47757,7260.815,19.9648,105.545,105.7498,102.886,102.9033
02/15/16,00:58:00,106.6482,516.7551,7.544022,7257.529,19.96526,105.7773,105.915,102.8655,102.8578
02/15/16,00:59:00,106.7385,515.4926,7.640076,7070.688,19.67039,105.0584,105.2125,102.5131,102.6215
02/15/16,01:00:00,106.6875,515.2899,7.679558,7271.939,19.99749,105.3026,105.7683,102.6706,102.6622
02/15/16,01:01:00,106.7047,516.028,7.620277,7293.438,20.04075,105.6967,105.868,102.934,102.915
02/15/16,01:02:00,106.5739,516.9917,7.629662,7268.552,19.98687,105.7272,105.9073,103.1592,103.1472
02/15/16,01:03:00,106.6629,516.104,7.613983,7261.655,20.10982,105.5465,105.7388,102.7231,102.7095
02/15/16,01:04:00,106.6317,516.505,7.628174,7089.709,19.62954,104.6829,105.0491,102.4321,102.3994
02/15/16,01:05:00,106.6319,516.609,7.624397,7159.46,19.83618,105.186,105.4133,102.1026,102.1925
02/15/16,01:06:00,106.6296,515.7448,7.643929,7207.053,19.86963,105.1142,105.3693,102.3868,102.3853
02/15/16,01:07:00,106.6422,516.6498,7.539368,7108.792,19.65369,104.7846,104.936,102.1431,102.133
02/15/16,01:08:00,106.7273,515.1199,7.651749,7245.962,19.94817,105.1613,105.3378,102.3502,102.3331
02/15/16,01:09:00,106.7633,515.1836,7.587128,7321.869,20.04448,105.3434,105.4935,102.6234,102.5652
02/15/16,01:10:00,106.6927,516.3696,7.607841,7301.26,20.03599,105.2975,105.4594,102.8209,102.7993
02/15/16,01:11:00,106.5656,516.5715,7.556725,7277.197,19.95515,105.3495,105.5404,102.9954,102.9584
02/15/16,01:12:00,106.7039,516.3634,7.682991,7251.404,19.95525,105.2341,105.4393,102.2998,102.2915
02/15/16,01:13:00,106.6103,515.8751,7.596931,7306.21,20.03711,105.1304,105.3038,102.3776,102.3486
02/15/16,01:14:00,106.6294,516.7532,7.591553,7383.896,20.14988,105.1257,105.2963,102.8622,102.8128
02/15/16,01:15:00,106.6513,515.4674,7.621689,7196.756,19.7501,104.4717,104.6785,102.5826,102.5093
02/15/16,01:16:00,106.7594,515.0775,7.390594,7053.699,19.59817,104.9222,105.138,102.2831,102.2809
02/15/16,01:17:00,106.6955,515.7238,7.624969,7266.425,19.99077,105.6078,105.79,102.5363,102.5228
02/15/16,01:18:00,106.6839,516.8985,7.58213,7347.488,20.07732,105.4354,105.6906,103.1491,103.121
02/15/16,01:19:00,106.6057,515.9758,7.633972,7138.873,19.73745,105.2134,105.4193,102.6255,102.6086
02/15/16,01:20:00,106.5974,516.6138,7.608185,7265.476,19.98252,105.9832,106.098,102.8236,102.8252
02/15/16,01:21:00,106.6687,516.28,7.598686,7325.177,20.0886,105.722,105.8913,102.9078,102.7318
